id,text,target,id,mentioned_users
53,"You should know that any protest, there will be those who want to protest and those with the s… https://t.co/8sZZtcfkxv ",0,1,"['fbunational', 'FBUNWC']"
54,Hey ! 🙋 Peaceful protest is a British right. Women at a peaceful vigil for #SarahEverard did not need heavy-handed… https://t.co/WhX98i7uNn ,0,1,[]
55,The enquiry can establish the facts and make such recommendations as are appropria… https://t.co/ZkWsYfbo66 ,0,1,"['DavidPenneyPRW', 'davidallengreen']"
56,The Police actions from what I have seen (ie I like most people commenting were not there) were OTT t… https://t.co/CyhXkUO3ri ,0,1,['michaelhogan']
57,"As a cute little sister, I protest the implications of this tweet. ",0,1,['bunsenbernerbmd']
58,It turned into a protest which was very sad to see. https://t.co/LjIcZ2bGX9 ,0,1,[]
59,"It was too soon, the young woman’s family grieving, to me it was another protest against the government. ",0,1,['JeremyVineOn5']
60,"Hey your extremist buddies, Owen Jones and Ash Sarkar have turned the tragic murder of a woman into… https://t.co/4LVvNeCOr0 ",1,1,['JeremyVineOn5']
61,"UK Anti lockdown protest right now...
https://t.co/2uhYecbPwO ",0,1,[]
62,"They read the room well.

They broke up a far left protest which was hijacking a tragic death.

Wel… https://t.co/kqQ4ML8mk3 ",0,1,['AllisonMorris1']
63,"this is the CEO of Substack btw, reusing a protest against racial violence to….. defend well-compensated white male… https://t.co/AuSanaa7Wg ",1,1,[]
64,"""Why does the burden of women’s safety fall on women, rather than on the men who are the source of most of the viol… https://t.co/BnjNhdk0Wj ",0,1,[]
65,"Protests over lack of safety for women bring me back to police attacking Washington Moms

In Rage Over Sarah Everar… https://t.co/Esa7RyR9QK ",0,1,[]
66,so important to campaign against this anti-protest bill https://t.co/y11ysLZwKp ,0,1,[]
67,No. Knocked himself off the horses they were using to charge at protestors at a BLM protest… https://t.co/db362C5vHh ,0,1,"['Emma_J_Matthews', 'MPFed']"
68,"The 307 page Bill would criminalise a spectrum of dissent - from 1 person demonstrations, to the risk(!) of causing… https://t.co/mchDc4hONw ",0,1,[]
69,Can anyone shed some light on what these protest are actually for ? To my knowledge the guy has been convicted and will do time for murder. ,0,1,[]
70,Burma has been turned into a slaughter ground (not a war zone or battle ground) as BBC stated today as T… https://t.co/CTGwRgX662 ,0,1,['TostevinM']
71,Considering it might be one of the last protest allowed with patel anti protest bill coming in. ,0,1,"['Southampton_eye', 'aamnamohdin']"
72,"Peaceful protest, peaceful policing. ",0,1,['northerness']
73,"Keir Starmer you know the #PoliceCrackdownBill is 
anti-democratic in its aim to criminalise any protest or march.… https://t.co/K5ko7iaALr ",0,1,[]
74,Tomorrow this neo-totalitarian govt will vote themselves the power to prevent a single perso… https://t.co/BGAlRJPqN4 ,0,1,"['aamnamohdin', 'Writerer']"
75,So people should protest when grooming gangs get CONVICTED? Do we need to check your hard drive chap? ,0,1,"['Bessy645', 'SkyNews']"
76,"This bill is appalling. It criminalises Travellers, Roma and Gypsies. It makes trespass a criminal rather than civi… https://t.co/71aF1im1Fe ",1,1,[]
77,"Its not though , wasnt a protest so no need for it ",0,1,"['5European', 'cfccally']"
78,"You may not like protesting, or BLM, or anti- mask protests but it's everyone's right to disagree, descent and voic… https://t.co/ImwekQ4Bmb ",0,1,[]
79,"At the protest at scotland yard, they have purposefully surrounded a Churchill statue with female only bastards so… https://t.co/xdvSVozx2G ",0,1,[]
80,"And do what? Vote for Democrats? We did that, you control the government. Protest? You'll send cops to kill us. Ser… https://t.co/Pj5jVvNbbR ",0,1,[]
81,It was a protest against police because women think every man is the same what 🤡s women are . ,0,1,['itvnews']
82,Despite their 'cancellation' some other cities let people hold their #Reclaimvigils discreetly. They went off quiet… https://t.co/uLpqGLaSia ,0,1,[]
83,"The Met has a very long history of over zealous policing of any kind of protest, may… https://t.co/YeTyBL8x2m ",0,1,"['AlisonA_Aherne', 'BBCLondonNews']"
84,"It was a political protest run by TERFS.

If you are a TERF YOU ARE KILLING WOMEN. Literally killing… https://t.co/9LomVf0ifV ",0,1,['Dora_Callisto']
85,"Roll up, Roll up folks, the next round of 
""we are going to protest, 
we do not know we are here, 
but we are going to protest"" ",0,1,['SkyNews']
86,"First, it wasn’t a protest it was a vigil. Second, they were advised of possible fines/arrest… https://t.co/8bhhbitJKb ",0,1,"['a_sharma99', 'SkyNews']"
87,Is it simply because it was women that were involved? Did you support the lockdown protest or did you call them killers?. ,0,1,['Wera_Hobhouse']
88,Dutch police cracked down on a peaceful anti-lockdown protest taking place in a park across from The Hague on the e… https://t.co/bNZ9SGTLUv ,0,1,[]
89,account has been withheld in India in response to a legal demand. Learn more. ,0,1,"[""Abdulraufakhtar's""]"
90,"- Have a terrible candidate win by rigging
- Have a system that cannot impeach or remove a sitting official
- Prote… https://t.co/Ps72bFgNnm ",0,1,[]
91,And how exactly will they protect them. It's one t… https://t.co/q0bjvT4RBx ,0,1,"['Kaycia_', 'grumbly_frown', 'davsExt', 'SandraN24688831', 'HackneyAbbott']"
92,Hey 🙋 Peaceful protest is a British right. Women at a peaceful vigil for #SarahEverard did not need h… https://t.co/mxFox4qMxP ,0,1,['helengrantmp']
93,What’s wrong with a protest? ,0,1,"['ajd_tudor', 'Brrrexit', 'VictoriaCoren']"
94,"Which turned into dishonest, lie-filled insult fests where NO ONE walked out in prot… https://t.co/U3JjIPPSGh ",0,1,"['AnnaStr76', 'lornevic', 'TVNewsHQ']"
95,"Inspiring to hear. It's about not allowing bullying to drain motivation. Some may say ""never explain, never complai… https://t.co/yx349itW2S ",0,1,[]
96,"So why are the police having to protect the statue of Churchill during the protest this evening.

ANTIFA &amp; the left… https://t.co/Dwg7nZWQKL ",0,1,[]
97,And you would trust any government not to declare a health or safety reason to shut down protest.… https://t.co/QczSOvRFXL ,0,1,"['tomhiggo', 'LBC']"
98,"Sure, you've been able to have a doorstep candlelit vigil - no o… https://t.co/3IASMswfza ",0,1,"['melllsy', 'Nick71914256', 'gavinessewing', 'metpoliceuk']"
99,We need police reform. Their treatment of women and minority groups and those who protest shows our police… https://t.co/79QMDQglbH ,0,1,['troovus']
